index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by,Unnamed: 22
57259,407-5814732-9549158,05-25-22,Shipped,Amazon,Amazon.in,Expedited,SET254,SET254-KR-NP-XXL,Set,XXL,B0983DCNY3,Shipped,1,INR,886.0,NAVI MUMBAI,MAHARASHTRA,400703.0,IN,,False,,False
12804,404-5344837-1564354,04-22-22,Cancelled,Amazon,Amazon.in,Expedited,J0014,J0014-LCD-M,Set,M,B0894XW4QF,Unshipped,1,INR,1648.0,SULYA,KARNATAKA,574232.0,IN,,False,,
113885,402-3398597-4088310,06-11-22,Shipped,Amazon,Amazon.in,Expedited,JNE3757,JNE3757-KR-XXL,kurta,XXL,B099NPK5DS,Shipped,1,INR,487.0,Vadodara,Gujarat,390022.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,False
8954,402-3472022-0065902,04-25-22,Shipped,Amazon,Amazon.in,Expedited,J0198,J0198-TP-XL,Top,XL,B0986YD8K8,Shipped,1,INR,588.0,GANDHINAGAR,Gujarat,382007.0,IN,,False,,
59205,407-2272479-0956311,05-24-22,Shipped,Amazon,Amazon.in,Expedited,SET402,SET402-KR-NP-XXL,Set,XXL,B09VC57SBH,Shipped,1,INR,988.0,Indore,MADHYA PRADESH,452016.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,False
53286,408-8840912-2649125,05-28-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3554,JNE3554-KR-L,kurta,L,B08MXBV2CM,Shipped,1,INR,517.0,BENGALURU,KARNATAKA,560079.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-URPEBMPS7TSPE,Amazon PLCC Free-Financing Universal Merchant AAT-5ZEB2OGNZ32MC,Amazon PLCC Free-Financing Universal Merchant AAT-CAK4QZ7KEFRQU,Amazon PLCC Free-Financing Universal Merchant AAT-YZJ5BRTPINRLK,Amazon PLCC Free-Financing Universal Merchant AAT-SNWJTEAZA2JRI,Amazon PLCC Free-Financing Universal Merchant AAT-BBJ6FVTP3QKBO,Amazon PLCC Free-Financing Universal Merchant AAT-TNYBHEAO7HOHO,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-QMFZ3M7T5NPDS,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",False,Easy Ship,False
22714,404-1431485-2670727,04-17-22,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-M,kurta,M,B081WVMMCY,Shipped,1,INR,399.0,MOHALI,PUNJAB,140301.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
119772,403-4578898-4306751,06-07-22,Cancelled,Amazon,Amazon.in,Expedited,SET332,SET332-KR-PP-S,Set,S,B09NQ33VW2,Unshipped,1,INR,525.0,TUNI,ANDHRA PRADESH,533401.0,IN,,False,,False
92220,402-7527446-6918768,06-28-22,Shipped,Amazon,Amazon.in,Expedited,JNE3674,JNE3674-TU-M,Top,M,B094368WZ8,Shipped,1,INR,574.0,JAIPUR,RAJASTHAN,302021.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,False
48143,405-9856136-1605135,04-01-22,Shipped,Amazon,Amazon.in,Expedited,SET398,SET398-KR-PP-L,Set,L,B09RP8WLNY,Shipped,1,INR,1129.0,JUTOGH,HIMACHAL PRADESH,171011.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
